鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大安區,土地,新龜段858地號,93.71,,鄉村區,乙種建築用地,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,6403,,0.0,0,買賣價格包含土地增值稅。含土地增值稅或其他稅費82111元；親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJNHKGFEB97DA,0.0,0.0,0.0,無,
梧棲區,土地,忠孝段515地號,89.38,住,,,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6758975,75621,,0.0,0,,RPRNMLQJNHKGFFB38EA,0.0,0.0,0.0,無,00001
太平區,土地,聖和段228地號,133.0,,鄉村區,乙種建築用地,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6600000,49624,,0.0,0,未登記建物；,RPXNMLQJNHKGFJB66DA,0.0,0.0,0.0,無,00002
大甲區,土地,文曲段460地號,206.71,農,,,1140507,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3126489,15125,,0.0,0,,RPTNMLNKNHKGFEB18DA,0.0,0.0,0.0,無,
梧棲區,土地,永安段9-6地號,341.0,農,,,1140507,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5982845,17545,,0.0,0,,RPQNMLQJNHKGFFB18DA,0.0,0.0,0.0,無,
潭子區,土地,僑忠段498-7地號,224.88,農,,,1140502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3570000,15875,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLPJNHKGFHB68DA,0.0,0.0,0.0,無,
北區,房地(土地+建物),臺中市北區美德街３６之７號,8.21,住,,,1140503,土地2建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701218,78.43,3,0,3,有,有,6650000,84789,,0.0,0,陽台外推；,RPWVMLTJNHKGFBB86DA,74.28,0.0,4.15,有,00003
北區,土地,錦村段107-130地號,16.0,都市：其他:道路用地,,,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1161600,72600,,0.0,0,包含公共設施保留地用地；,RPQNMLLKNHKGFBB37DA,0.0,0.0,0.0,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區南興三路３０９號三樓之３,63.16,住,,,1140501,土地1建物1車位2,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130829,228.64,3,2,2,有,有,21370000,93466,坡道平面,0.0,0,急買急賣；,RPPNMLKKNHKGFBB17DA,103.3,0.0,7.51,有,00004
豐原區,土地,豐原段767-183地號,6.28,都市：其他:電信專用區,,,1140502,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,561163,89357,,0.0,0,含土地增值稅或其他稅費；其他；,RPSNMLMKNHKGFDB87DA,0.0,0.0,0.0,無,
梧棲區,土地,永安段9-7地號,72.0,農,,,1140508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,617155,8572,,0.0,0,,RPTNMLSJNHKGFFB68DA,0.0,0.0,0.0,無,
沙鹿區,土地,成衣段159地號,3.35,住,,,1140508,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,119403,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；畸零地或有合併使用效益；,RPWOMLOKNHKGFFB78DA,0.0,0.0,0.0,無,00005
龍井區,房地(土地+建物),臺中市龍井區新興路２９之４９號,6.1,,鄉村區,乙種建築用地,1140503,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770801,23.96,1,0,1,有,有,1600000,66778,,0.0,0,,RPRNMLTJNHKGFKB09DA,15.85,1.47,0.0,無,00006
大肚區,土地,慶順段8地號,10.8,,鄉村區,乙種建築用地,1140502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,46296,,0.0,0,,RPRNMLNKNHKGFKB58DA,0.0,0.0,0.0,無,
南區,車位,臺中市南區南陽街９９號地下三層之１,1.38,住,,,1140501,土地1建物1車位1,地下三層,十六層,其他,停車空間,鋼筋混凝土造,0830728,16.59,0,0,0,無,有,1400000,,坡道平面,0.0,1400000,僅車位交易；,RPRNMLNKNHKGFAB67EA,0.0,0.0,0.0,有,00007
